Date,Open,High,Low,Close,Adj Close,Volume
8/31/2015,112.029999,114.529999,112,112.760002,108.485931,56229300
9/1/2015,110.150002,111.879997,107.360001,107.720001,103.636963,76845900
9/2/2015,110.230003,112.339996,109.129997,112.339996,108.081833,61888800
9/3/2015,112.489998,112.779999,110.040001,110.370003,106.186516,53233900
9/4/2015,108.970001,110.449997,108.510002,109.269997,105.128212,49996300
9/8/2015,111.75,112.559998,110.32,112.309998,108.052979,54843600
9/9/2015,113.760002,114.019997,109.769997,110.150002,105.974854,85010800
9/10/2015,110.269997,113.279999,109.900002,112.57,108.303116,62892800
9/11/2015,111.790001,114.209999,111.760002,114.209999,109.880959,49915500
9/14/2015,116.580002,116.889999,114.860001,115.309998,110.939262,58363400
9/15/2015,115.93,116.529999,114.419998,116.279999,111.872498,43341200
9/16/2015,116.25,116.540001,115.440002,116.410004,111.997581,37173500
9/17/2015,115.660004,116.489998,113.720001,113.919998,109.601952,64112600
9/18/2015,112.209999,114.300003,111.870003,113.449997,109.149773,74285300
9/21/2015,113.669998,115.370003,113.660004,115.209999,110.843056,50222000
9/22/2015,113.379997,114.18,112.519997,113.400002,109.101662,50346200
9/23/2015,113.629997,114.720001,113.300003,114.32,109.986801,35756700
9/24/2015,113.25,115.5,112.370003,115,110.641022,50219500
9/25/2015,116.440002,116.690002,114.019997,114.709999,110.362015,56151900
9/28/2015,113.849998,114.57,112.440002,112.440002,108.178062,52109000
9/29/2015,112.830002,113.510002,107.860001,109.059998,104.926178,73365400
9/30/2015,110.169998,111.540001,108.730003,110.300003,106.119179,66473000
10/1/2015,109.07,109.620003,107.309998,109.580002,105.42646,63929100
10/2/2015,108.010002,111.010002,107.550003,110.379997,106.196136,58019800
10/5/2015,109.879997,111.370003,109.07,110.779999,106.580978,52064700
10/6/2015,110.629997,111.739998,109.769997,111.309998,107.090881,48196800
10/7/2015,111.739998,111.769997,109.410004,110.779999,106.580978,46765600
10/8/2015,110.190002,110.190002,108.209999,109.5,105.349495,61979600
10/9/2015,110,112.279999,109.489998,112.120003,107.870178,52766100
10/12/2015,112.730003,112.75,111.440002,111.599998,107.369888,30467200
10/13/2015,110.82,112.449997,110.68,111.790001,107.552696,33049300
10/14/2015,111.290001,111.519997,109.559998,110.209999,106.032578,44462400
10/15/2015,110.93,112.099998,110.489998,111.860001,107.620049,37673500
10/16/2015,111.779999,112,110.529999,111.040001,106.831116,39232600
10/19/2015,110.800003,111.75,110.110001,111.730003,107.494957,29759200
10/20/2015,111.339996,114.169998,110.82,113.769997,109.457634,48778800
10/21/2015,114,115.580002,113.699997,113.760002,109.448021,41795200
10/22/2015,114.330002,115.5,114.099998,115.5,111.122078,41654100
10/23/2015,116.699997,119.230003,116.330002,119.080002,114.566376,59366900
10/26/2015,118.080002,118.129997,114.919998,115.279999,110.910416,66333800
10/27/2015,115.400002,116.540001,113.989998,114.550003,110.208076,69884400
10/28/2015,116.93,119.300003,116.059998,119.269997,114.749161,85551400
10/29/2015,118.699997,120.690002,118.269997,120.529999,115.961411,51227300
10/30/2015,120.989998,121.220001,119.449997,119.5,114.970459,49365300
11/2/2015,120.800003,121.360001,119.610001,121.18,116.586769,32203300
11/3/2015,120.790001,123.489998,120.699997,122.57,117.924095,45519000
11/4/2015,123.129997,123.82,121.620003,122,117.375694,44886100
11/5/2015,121.849998,122.690002,120.18,120.919998,116.834602,39552700
11/6/2015,121.110001,121.809998,120.620003,121.059998,116.969872,33042300
