Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2016-09-26,40.09000015,40.29650116,39.85749817,39.95800018,53028000,3.0,3.0,3.0,3.0,,12.0,
2016-09-27,40.09249878,40.83200073,40.05550003,40.80550003,76392000,8.0,8.0,8.0,4.0,12.0,4.0,12.0
2016-09-28,40.90000153,41.50699997,40.85150146,41.43600082,88442000,8.0,8.0,4.0,6.0,6.0,6.0,6.0
2016-09-29,41.4129982,41.875,41.23149872,41.45249939,98444000,,3.0,,6.0,,3.0,
2016-09-30,41.63050079,41.99750137,41.61999893,41.8655014,88612000,6.0,6.0,6.0,6.0,4.0,8.0,8.0
2016-10-03,41.79999924,41.99300003,41.5625,41.8370018,55388000,6.0,3.0,6.0,3.0,4.0,8.0,
2016-10-04,42.04550171,42.11849976,41.51300049,41.70149994,59006000,,3.0,2.0,2.0,2.0,3.0,
2016-10-05,41.90000153,42.28350067,41.80599976,42.2179985,69382000,,8.0,4.0,3.0,6.0,3.0,6.0
2016-10-06,42.18500137,42.36050034,42.02999878,42.08300018,53680000,5.0,5.0,3.0,4.0,3.0,6.0,
2016-10-07,42.28950119,42.29750061,41.87250137,41.9715004,48524000,,6.0,4.0,4.0,,5.0,5.0
2016-10-10,42.16249847,42.25999832,42.01350021,42.08549881,36542000,7.0,12.0,7.0,,8.0,8.0,8.0
2016-10-11,42.05099869,42.0644989,41.41749954,41.54999924,71764000,7.0,7.0,,4.0,4.0,6.0,
2016-10-12,41.70000076,41.88349915,41.50500107,41.70449829,47608000,,6.0,4.0,4.0,,7.0,7.0
2016-10-13,41.45000076,41.59000015,41.0605011,41.4640007,61828000,6.0,6.0,6.0,,6.0,12.0,
2016-10-14,41.75400162,41.78699875,41.14799881,41.14799881,59996000,3.0,3.0,3.0,3.0,4.0,4.0,
2016-10-17,41.07500076,41.09999847,40.58399963,40.64749908,67230000,,2.0,1.0,2.0,3.0,2.0,
2016-10-18,41.10549927,41.1629982,40.75099945,40.88249969,50250000,5.0,5.0,9.0,6.0,6.0,5.0,6.0
2016-10-19,41.02000046,41.03350067,40.75849915,40.8844986,41814000,,12.0,3.0,9.0,9.0,,3.0
2016-10-20,40.69950104,40.78549957,40.15499878,40.51599884,63040000,8.0,3.0,6.0,9.0,,4.0,
2016-10-21,40.4679985,40.97100067,40.45000076,40.94950104,55860000,6.0,4.0,11.0,4.0,4.0,11.0,4.0
2016-10-24,41.24750137,41.91500092,41.11050034,41.90449905,81218000,8.0,20.0,8.0,8.0,20.0,8.0,
2016-10-25,41.96500015,42.15449905,41.6609993,41.75899887,64968000,8.0,6.0,3.0,8.0,3.0,,
2016-10-26,41.63800049,41.67200089,41.0,41.12950134,79962000,6.0,3.0,6.0,3.0,,10.0,
2016-10-27,41.56200027,41.58599854,40.77149963,40.91799927,148128000,4.0,4.0,4.0,6.0,12.0,3.0,3.0
2016-10-28,39.09999847,39.47449875,38.73049927,38.81600189,216822000,2.0,2.0,6.0,4.0,2.0,4.0,
2016-10-31,39.05149841,39.68500137,39.00550079,39.49100113,108266000,,4.0,4.0,3.0,3.0,3.0,3.0
2016-11-01,39.95000076,40.04199982,38.83549881,39.27050018,106108000,,8.0,4.0,,4.0,6.0,4.0
2016-11-02,39.19649887,39.23749924,38.17750168,38.27799988,100530000,5.0,5.0,,4.0,4.0,6.0,
2016-11-03,38.25249863,38.84999847,38.20000076,38.35150146,77450000,,4.0,5.0,6.0,3.0,6.0,6.0
2016-11-04,38.13949966,38.29999924,37.66149902,37.75249863,102442000,3.0,6.0,8.0,3.0,5.0,9.0,
2016-11-07,38.58200073,39.38650131,38.54700089,39.24649811,119688000,,12.0,3.0,6.0,6.0,7.0,
2016-11-08,39.24850082,39.5870018,38.95500183,39.38750076,68252000,12.0,4.0,10.0,12.0,10.0,,12.0
2016-11-09,38.20000076,38.875,38.00450134,38.59400177,171258000,3.0,6.0,6.0,7.0,,12.0,
2016-11-10,38.94049835,38.94150162,35.88499832,37.11899948,254940000,2.0,2.0,2.0,3.0,4.0,3.0,
2016-11-11,36.78649902,37.1629982,36.44499969,36.95050049,132456000,1.0,1.0,4.0,4.0,4.0,1.0,1.0
2016-11-14,37.27550125,37.29999924,35.50500107,35.95349884,146426000,,2.0,3.0,2.0,1.0,2.0,
2016-11-15,36.5,37.3390007,36.29949951,37.16199875,135116000,,12.0,3.0,6.0,6.0,7.0,
2016-11-16,36.99399948,37.49349976,36.7804985,37.32450104,72976000,16.0,4.0,9.0,8.0,13.0,,4.0
2016-11-17,37.4659996,37.875,37.40000153,37.81999969,73802000,4.0,4.0,,16.0,,4.0,4.0
2016-11-18,38.04999924,38.38700104,37.88199997,38.00799942,87468000,4.0,4.0,11.0,4.0,6.0,4.0,11.0
2016-11-21,38.29999924,39.01750183,38.25550079,39.0,92292000,4.0,11.0,4.0,6.0,4.0,11.0,4.0
2016-11-22,39.40850067,39.61999893,39.04999924,39.26649857,106226000,,3.0,2.0,,5.0,,
2016-11-23,39.08649826,39.08750153,38.65599823,39.00600052,70806000,4.0,4.0,3.0,5.0,,8.0,
2016-11-25,39.32500076,39.33750153,38.89500046,39.01850128,36742000,3.0,4.0,3.0,6.0,8.0,3.0,3.0
